model,morphology_feature,category,gene,rank,mean_permutation_importance,sd_permutation_importance,positive_importance_folds,pearson_r,pearson_p,spearman_rho,spearman_p
MLPRegressor,Cells_AreaShape_Zernike_4_2,AreaShape,202555_s_at,1,0.009357311,0.007660731,5,0.12197712,0.022859729,0.09904811,0.06494866
MLPRegressor,Cells_AreaShape_Zernike_4_2,AreaShape,201756_at,2,0.007886334,0.01083783,4,0.20236584,0.00014417,0.115064861,0.03187964
MLPRegressor,Cells_AreaShape_Zernike_4_2,AreaShape,200972_at,3,0.007325487,0.007738526,4,0.084906091,0.113864309,0.084651096,0.114957935
MLPRegressor,Cells_AreaShape_Zernike_4_2,AreaShape,218375_at,4,0.007102996,0.003714505,5,0.170309112,0.001427792,0.094468486,0.078427501
MLPRegressor,Cells_AreaShape_Zernike_4_2,AreaShape,202623_at,5,0.006757391,0.006667374,5,0.152427396,0.004372787,0.124105576,0.020569772
MLPRegressor,Cells_AreaShape_Zernike_4_2,AreaShape,203050_at,6,0.006585253,0.01196569,4,0.058720658,0.274647949,0.017523017,0.744623688
MLPRegressor,Cells_AreaShape_Zernike_4_2,AreaShape,213343_s_at,7,0.006349909,0.008930795,4,0.111143226,0.038236097,0.00225758,0.966528082
MLPRegressor,Cells_AreaShape_Zernike_4_2,AreaShape,201528_at,8,0.006112267,0.005001102,4,0.119650482,0.025612038,0.135440175,0.011433018
MLPRegressor,Cells_AreaShape_Zernike_4_2,AreaShape,202230_s_at,9,0.005948429,0.006104508,4,0.130147682,0.015120502,0.090256936,0.092744247
MLPRegressor,Cells_AreaShape_Zernike_4_2,AreaShape,219888_at,10,0.005784919,0.004942077,5,0.104654493,0.051099931,0.07416921,0.167422689
MLPRegressor,Cells_AreaShape_Zernike_4_2,AreaShape,202722_s_at,11,0.005659917,0.005393742,4,0.026716051,0.619416839,0.021262772,0.692644045
MLPRegressor,Cells_AreaShape_Zernike_4_2,AreaShape,218168_s_at,12,0.004914893,0.00327787,5,0.071888681,0.180905367,0.083534398,0.119844419
MLPRegressor,Cells_AreaShape_Zernike_4_2,AreaShape,211758_x_at,13,0.004765332,0.007887396,3,0.063114985,0.240262974,0.001097105,0.983730184
MLPRegressor,Cells_AreaShape_Zernike_4_2,AreaShape,203218_at,14,0.004634628,0.004385213,4,0.084649183,0.114966168,0.075630348,0.159188318
MLPRegressor,Cells_AreaShape_Zernike_4_2,AreaShape,209367_at,15,0.004543466,0.009131725,3,0.129851206,0.015354909,0.10027674,0.06167565
MLPRegressor,Cells_AreaShape_Zernike_4_2,AreaShape,211518_s_at,16,0.004526039,0.005552486,4,0.084487014,0.115665987,0.011046962,0.837303978
MLPRegressor,Cells_AreaShape_Zernike_4_2,AreaShape,204587_at,17,0.004518855,0.003352603,5,0.129792516,0.015401688,0.068997173,0.199133106
MLPRegressor,Cells_AreaShape_Zernike_4_2,AreaShape,202093_s_at,18,0.004469725,0.006478229,3,0.098106887,0.067551421,0.065191118,0.225114621
MLPRegressor,Cells_AreaShape_Zernike_4_2,AreaShape,204514_at,19,0.004462803,0.005874905,4,0.148842718,0.005400034,0.119647343,0.025615936
MLPRegressor,Cells_AreaShape_Zernike_4_2,AreaShape,202349_at,20,0.004419654,0.006613482,4,0.100866305,0.060154033,0.123589568,0.021105822
