Morphology feature	Gene	TWAS effect (β)	TWAS p-value	TWAS q-value	Autoencoder-prioritized
Cells_AreaShape_Zernike_3_1	NVL	0.1903921491186661	0.0386144460034326	0.047979972092229	No
Cells_RadialDistribution_RadialCV_AGP_4of4	SLC11A2	-0.1884170338416018	0.0285479227390176	0.0389545131110598	Yes
Cells_RadialDistribution_RadialCV_AGP_4of4	VDAC1	0.175787782451457	0.0379319159618183	0.0460463352719261	No
Cytoplasm_AreaShape_Zernike_4_4	MNAT1	0.2770744694385833	0.0063402534786397	0.0420149088916151	Yes
Cytoplasm_AreaShape_Zernike_4_4	PDHX	0.207257895589136	0.0424437870441411	0.0476338785063372	No
Cytoplasm_AreaShape_Zernike_9_9	EIF4EBP1	-0.271926796121284	0.0234685869156524	0.0411666064202692	No
Cytoplasm_RadialDistribution_RadialCV_AGP_1of4	TRAP1	0.2870990605628926	0.0131548014375995	0.0430284303343589	Yes
Nuclei_Granularity_5_DNA	HMGA2	0.2155463210223821	0.0184182286150581	0.0462621012652168	Yes
Nuclei_Granularity_5_DNA	MYC	-0.1829052517528794	0.0459895583417564	0.0473567556697768	Yes
Nuclei_RadialDistribution_FracAtD_Mito_3of4	ECD	0.3083635034247516	0.005419939247737	0.0377032571940014	Yes
Nuclei_RadialDistribution_FracAtD_Mito_3of4	MAPKAPK5	-0.2148532801650642	0.0492493816214833	0.0453712005460744	Yes
Nuclei_RadialDistribution_MeanFrac_Mito_3of4	PDHX	0.226713388562199	0.0306316562719015	0.0419168165219678	Yes
Nuclei_RadialDistribution_RadialCV_DNA_1of4	EIF4EBP1	0.2677573738077587	0.0275870924781237	0.0427114614657303	Yes
Nuclei_RadialDistribution_RadialCV_DNA_1of4	GTF2E2	0.2616971604249523	0.0310478556034246	0.0476882830986427	Yes
