Unnamed: 0,indiv_mean_r2,global_r2,global_p,global_q,highlight
Cells_AreaShape_FormFactor,0.4752935247864789,0.6142964712644037,1.1470817499597286e-31,5.3339301373127395e-31,False
Cells_AreaShape_Zernike_2_2,0.8499999999999995,0.680132058283764,1.025544380890532e-30,4.33525579194634e-30,True
Cells_AreaShape_Zernike_3_1,0.6899999999999998,0.871472303685133,2.1039282845356488e-50,1.2598588289188975e-48,True
Cells_AreaShape_Zernike_4_2,0.8499999999999995,0.7801391631595653,5.081208971328059e-40,7.875873905558491e-39,True
Cells_Correlation_Correlation_DNA_Mito,0.1296015603412224,0.6873566594725637,1.1339933776103708e-30,4.4907636120773226e-30,False
Cells_Correlation_Correlation_DNA_RNA,0.2211979300249362,0.4560569744208829,8.497038972798665e-26,1.5804492489405516e-25,False
Cells_Correlation_Correlation_Mito_ER,0.2014044958842682,0.010591645130199,1.7857074630355688e-15,1.8452310451367538e-15,False
Cells_Correlation_Overlap_DNA_Mito,0.1967482455967667,0.139708636890342,1.2545056140558505e-19,1.535118711936764e-19,False
Cells_Correlation_Overlap_DNA_RNA,0.5466519786606755,0.7215908607602063,5.1400427207796175e-34,3.6771074848654175e-33,False
Cells_Correlation_Overlap_ER_RNA,0.6078397489148811,0.4632061959086774,3.8861420611341e-21,4.950838516239333e-21,False
Cells_Correlation_Overlap_Mito_RNA,0.2521159187884085,0.3388428352295448,1.1321815175935306e-22,1.698272276390296e-22,False
Cells_Correlation_Overlap_RNA_AGP,0.5508650088761513,0.2933277418431709,1.9359935316071521e-19,2.2790809929046216e-19,False
Cells_Intensity_MassDisplacement_DNA,0.5894409812111523,0.6068814036869495,1.957770687017817e-28,5.057574274796028e-28,False
Cells_Intensity_MaxIntensityEdge_Mito,0.3821337503762425,0.2971956084612817,2.1035175775353108e-21,2.83517586537368e-21,False
Cells_Neighbors_AngleBetweenNeighbors_Adjacent,0.2347305305878382,0.3018608412162046,9.015454915652515e-25,1.5244314675557888e-24,False
Cells_RadialDistribution_MeanFrac_AGP_3of4,0.8199999999999998,0.7187513141238548,3.134263841442042e-33,1.7146266897300584e-32,True
Cells_RadialDistribution_MeanFrac_DNA_3of4,0.5533328778535764,0.5731827502901923,4.452941285325236e-26,8.811139139047807e-26,False
Cells_RadialDistribution_MeanFrac_ER_3of4,0.2175696298563026,0.1939201761315913,3.0570817351103074e-16,3.230779560968848e-16,False
Cells_RadialDistribution_RadialCV_AGP_1of4,0.67,0.853633253776928,1.2054505580706506e-43,3.736896730019017e-42,True
Cells_RadialDistribution_RadialCV_AGP_3of4,0.7000000000000002,0.6973562888187799,3.1828307250444425e-30,1.0571544908183328e-29,True
Cells_RadialDistribution_RadialCV_AGP_4of4,0.63,0.8202932679318762,8.091053441808443e-42,1.881169925220463e-40,True
Cells_RadialDistribution_RadialCV_DNA_1of4,0.5078068787290904,0.0970520056321694,3.649147276239076e-15,3.6888119205460224e-15,False
Cells_RadialDistribution_RadialCV_ER_1of4,0.4464671125243244,0.2300046935711289,3.522826081591276e-22,4.963982205878616e-22,False
Cells_RadialDistribution_RadialCV_Mito_1of4,0.87,0.7741711745236967,5.255876847110522e-38,6.982807811161122e-37,True
Cells_RadialDistribution_RadialCV_RNA_1of4,0.6100739921888421,0.4932554951223767,5.366814010766307e-25,9.417239679269179e-25,False
Cells_RadialDistribution_RadialCV_RNA_4of4,0.2275495037335304,0.3733795723244931,2.243429242987593e-22,3.2098295322745564e-22,False
Cytoplasm_AreaShape_FormFactor,0.5395188207410456,0.545866551780585,2.1468903021338573e-25,3.914917609773504e-25,False
Cytoplasm_AreaShape_Zernike_3_1,0.3849907702689927,0.6482012150928735,3.198391361263438e-34,2.478753304979165e-33,False
Cytoplasm_AreaShape_Zernike_3_3,0.2273555936493872,0.2110305859492196,5.83693474938932e-18,6.540179899918154e-18,False
Cytoplasm_AreaShape_Zernike_4_0,0.1912471962824095,0.5854713443330227,1.1589067386005992e-30,4.4907636120773226e-30,False
Cytoplasm_AreaShape_Zernike_4_2,0.3737839326737867,0.2957879432486142,1.5320311865609145e-22,2.2615698468280166e-22,False
Cytoplasm_AreaShape_Zernike_4_4,0.9000000000000005,0.7172345014661021,9.545908981451564e-34,6.341210966249967e-33,True
Cytoplasm_AreaShape_Zernike_5_5,0.4204985523384261,0.6304777245854101,1.711381892547089e-27,3.881915024558031e-27,False
Cytoplasm_AreaShape_Zernike_6_6,0.2013858930856638,0.7211655576883425,1.2546621248086809e-33,7.77890517381382e-33,False
Cytoplasm_AreaShape_Zernike_7_3,0.1081922042181276,0.4516480632510619,7.205498796019952e-27,1.5229804273405807e-26,False
Cytoplasm_AreaShape_Zernike_8_2,0.3591232758897533,0.0675275114265799,1.1174328466642396e-18,1.2829784535774602e-18,False
Cytoplasm_AreaShape_Zernike_8_6,0.5005338305007939,0.6366595216507973,8.202689465852384e-31,3.63261962059177e-30,False
Cytoplasm_AreaShape_Zernike_8_8,0.6052302704754489,0.4844416070342392,3.4458059133151775e-21,4.5135204216663584e-21,False
Cytoplasm_AreaShape_Zernike_9_5,0.4440437031545052,0.2947841379828128,4.53804171589107e-18,5.146803409486213e-18,False
