feature	global_r2	global_r2_ci95_low	global_r2_ci95_high	global_p	global_q	indiv_mean_r2	n_samples
Nuclei_RadialDistribution_RadialCV_Mito_1of4	0.884	0.841	0.935	2.709e-50	1.260e-48	0.66	100
Cells_AreaShape_Zernike_3_1	0.871	0.83	0.941	2.104e-50	1.260e-48	0.69	100
Cells_RadialDistribution_RadialCV_AGP_1of4	0.854	0.804	0.901	1.205e-43	3.737e-42	0.67	100
Cells_RadialDistribution_RadialCV_AGP_4of4	0.82	0.773	0.897	8.091e-42	1.881e-40	0.63	100
Nuclei_RadialDistribution_FracAtD_Mito_3of4	0.82	0.715	0.904	4.277e-40	7.876e-39	0.82	100
Cells_AreaShape_Zernike_4_2	0.78	0.764	0.886	5.081e-40	7.876e-39	0.85	100
Cells_RadialDistribution_RadialCV_Mito_1of4	0.774	0.73	0.881	5.256e-38	6.983e-37	0.87	100
Nuclei_Granularity_5_DNA	0.756	0.735	0.863	8.820e-37	1.025e-35	0.62	100
Cells_RadialDistribution_MeanFrac_AGP_3of4	0.719	0.675	0.844	3.134e-33	1.715e-32	0.82	100
Cytoplasm_AreaShape_Zernike_4_4	0.717	0.673	0.853	9.546e-34	6.341e-33	0.9	100
Cells_RadialDistribution_RadialCV_AGP_3of4	0.697	0.531	0.845	3.183e-30	1.057e-29	0.7	100
Nuclei_RadialDistribution_RadialCV_DNA_1of4	0.687	0.323	0.917	1.097e-34	1.021e-33	0.75	100
Cells_AreaShape_Zernike_2_2	0.68	0.631	0.828	1.026e-30	4.335e-30	0.85	100
Cytoplasm_RadialDistribution_RadialCV_AGP_1of4	0.651	0.647	0.835	7.399e-32	3.622e-31	0.62	100
Nuclei_RadialDistribution_RadialCV_AGP_3of4	0.64	0.57	0.814	1.335e-28	3.878e-28	0.7	100
Nuclei_RadialDistribution_MeanFrac_Mito_3of4	0.624	0.574	0.833	1.729e-30	6.186e-30	0.9	100
Cytoplasm_AreaShape_Zernike_9_9	0.62	0.62	0.807	3.438e-29	1.031e-28	0.63	100
